메뉴,화면,판정기호,판정,비고,만족도규칙위반,1차범위
공통,헤더 (닫기X·홈없음),✓,정상,지점(대치) 드롭다운 존재,,
공통,2뎁스 네비,△,주의,'전체 회차'만 [이전] 대신 [다른 강좌 보기] 라벨(기능 동등),,
출결·보강,오늘 출석,△,주의,"""오늘(6/30)은 수업이 없어요"" — 빈 상태인데 만족도 노출(규칙 위반)",Y,
출결·보강,동영상 보강,△,주의,"""영상준비중"" 상태 — 시청기한·N분 미표시(데이터 부재 가능, 확인불가)",,
출결·보강,타반보강(없음),△,주의,"안내문+[상담 연결] 정상, 단 만족도 노출",Y,
출결·보강,추가영상(없음),△,주의,"""추가영상 내역이 없어요"" + 만족도 노출",Y,
출결·보강,입반 강좌,✓,정상,과목+강좌명 풀네임 목록 정상,,
납부·결제,납부 현황,✓,정상,[납부하기]→/payment 외부 결제 연결만(1차 범위 준수). 기한 표기 챗봇 12/26 vs 결제 25.12.26 불일치,,준수
납부·결제,결제 내역(없음),△,주의,"""결제 내역이 없어요"" + 만족도 노출",Y,
수업·시간표,내 시간표,△,주의,"(06/29~07/05) 표시, 단 요일 옆 수업시간 빈칸(""월 /"")",,
수업·시간표,전체 회차,✗,실패,"""전체 N회 중 M회차 진행 중"" 문구 없음 + 회차 정렬 뒤섞임 + 15회차 중복",,
수업·시간표,종강일,✓,정상,"풀네임 + 종강일 26/01/24 YY/MM/DD, [상담 연결]",,
전반,강좌 선택,△,주의,"첫 안내문 ""어떤 강좌로 전반을 원하시나요?"" — 어색한 한국어",,
전반,결과,✓,정상,지점·단과별 다른 시간대 강좌 + [상담 연결],,
공통,상담 연결,✓,정상,"버튼 1개([상담 등록] 없음), 지점별 전화번호 노출",,준수
공통,만족도 종료,✓,정상,"""해결됐어요""→격려문 + [처음으로][대화 닫기]",,
