우선순위,추가할 FAQ 항목,카카오 대상 문의,FAQ 해결도,근거
1,로그인·비밀번호·아이디 찾기(통합회원 로그인 안내),20.7%,높음(순수 셀프),비번 재설정·아이디 찾기·통합회원 로그인은 완전 절차라 FAQ로 끝남
2,"자녀·학부모 계정 연결 + ""이미 등록된 번호"" 대처",계정 클러스터 44.5% 중 최다,중간,"안내는 FAQ가, 실제 꼬임은 계정 매칭 수정 도구와 병행"
3,라이브(LIVE) 신청 방법,14.6%,높음,"""어디서·어떻게 신청"" 순수 절차"
4,환불·취소 규정 + 대기·충원 제도 안내,환불 11.0% / 대기 11.5%,높음,규정·제도 설명은 FAQ 영역(내 대기번호는 챗봇 조회)
5,수강신청·입반 방법,6.5%,높음,절차 안내
현 유지,영상 재생·플레이어 문제,4.9%,높음,"개강기 상담 감축 효과, 유지"
낮음,결제 무이자·할부,0.1%,-,"카카오 채널 수요 거의 없음, 우선순위 낮음"

"참고: 세부 주제 빈도(전체기간 1,659, 대화단위 중복허용)",,,,
자녀-학부모 계정/번호 연결,391건,23.6%,,
로그인/비밀번호/아이디,344건,20.7%,,
라이브 신청/문의,243건,14.6%,,
대기/충원,191건,11.5%,,
환불/취소,183건,11.0%,,
"""이미 등록된 번호""/중복계정",176건,10.6%,,
전화번호 변경/삭제/등록,162건,9.8%,,
결제/납부/문자,143건,8.6%,,
동영상보강/시청기한,130건,7.8%,,
수강신청/입반,108건,6.5%,,
탈퇴/계정정리,95건,5.7%,,
회원정보없음/가입불가,84건,5.1%,,
영상재생·플레이어(현 FAQ),81건,4.9%,,
