카테고리,질문,카카오수요,답변
계정·로그인,로그인이 안 돼요,20.7%,"시대인재는 통합회원 아이디 하나로 여러 서비스를 이용합니다. 아이디는 가입할 때 쓰신 이메일입니다. 로그인이 안 되면 먼저 아이디와 비밀번호를 확인해 주세요. 비밀번호가 기억나지 않으면 로그인 화면의 비밀번호 재설정을, 아이디가 기억나지 않으면 아이디 찾기를 이용하시면 됩니다. 로그인은 되는데 정보가 안 보이면 전체메뉴에서 로그아웃한 뒤 앱을 완전히 종료하고, 다시 로그인해 학원 등록 정보 연동을 시도해 주세요. 그래도 안 되면 본인인증 후 상담으로 도와드립니다."
계정·로그인,아이디나 비밀번호가 기억나지 않아요,,아이디는 가입할 때 사용한 이메일입니다. 로그인 화면의 아이디 찾기에서 본인인증으로 확인할 수 있습니다. 비밀번호는 비밀번호 재설정에서 본인인증 후 새로 정하시면 됩니다. 통합회원이라 한 번 재설정하면 시대인재 서비스 전체에 함께 적용됩니다.
계정·로그인,자녀(제) 정보가 안 보여요,23.6%,"학생과 학부모가 각각 가입한 경우, 두 계정을 전화번호로 연결해야 자녀 정보가 보입니다. 학부모 계정에서 자녀 계정 연결(학원 등록 정보 연동)을 진행해 주세요. 자녀의 등록 정보인 이름과 전화번호가 필요합니다. 연결이 안 되면 번호가 어긋난 경우가 많으므로, 이미 등록된 번호 안내를 함께 확인하시거나 상담으로 연결해 주세요."
계정·로그인,"""이미 등록된 번호""라고 떠요",10.6%,입력한 전화번호가 이미 다른 계정에 등록돼 있어 나오는 안내입니다. 예전에 학생 본인이나 가족이 그 번호로 가입한 경우가 많습니다. 그 번호가 묶인 이전 계정에서 번호를 먼저 정리해야 새 계정에 등록됩니다. 이전 계정을 모르거나 접근이 어려우면 앱에서 혼자 풀기 어려우므로 상담으로 연결해 주세요. 상담 시 학생 이름과 등록하려는 번호를 함께 알려주시면 빠르게 처리됩니다.
계정·로그인,전화번호를 바꾸거나 지우고 싶어요,9.8%,전체메뉴의 내 정보에서 본인인증 후 연락처를 바꿀 수 있습니다. 바꾸려는 번호가 이미 등록된 번호로 막히면 그 번호가 묶인 이전 계정에서 먼저 삭제가 필요합니다. 결제나 알림 문자가 한쪽 번호로만 가는 경우에도 여기서 수신 번호를 정리하시면 됩니다. 앱에서 처리가 안 되면 상담으로 도와드립니다.
계정·로그인,회원 정보가 없다고 하거나 가입이 안 돼요,5.1%,"이미 통합회원으로 가입돼 있는데 다시 가입하려 해서 막히는 경우가 많습니다. 먼저 로그인을 시도해 주시고, 비밀번호가 기억나지 않으면 비밀번호 재설정을 이용해 주세요. 가입 이력이 없는데도 막히면 상담으로 가입 정보를 확인해 드립니다."
계정·로그인,탈퇴하고 싶어요,5.7%,"이용 중인 강좌나 남은 결제, 미완료 항목이 있으면 탈퇴가 제한됩니다. 남은 항목을 먼저 정리한 뒤 탈퇴가 가능합니다. 탈퇴 화면에 제한 사유가 표시되며, 사유를 해결하기 어려우면 상담으로 도와드립니다."
수강·대기,라이브(LIVE) 강좌는 어디서 신청하나요,14.6%,"라이브 강좌는 마이클래스가 아니라 시대인재 라이브에서 신청합니다. 카카오톡 채널에서 시대인재 LIVE를 검색해 문의해 주세요. 라이브 강좌의 결제와 환불, 교재도 라이브 쪽에서 처리됩니다."
수강·대기,대기(충원)는 어떻게 되나요,11.5%,마감된 강좌는 대기를 걸어두면 자리가 생길 때 순번대로 안내 문자를 보내드립니다. 여러 번 신청해도 순번이 앞당겨지지는 않습니다. 내 대기 순번과 충원 예상 시기는 로그인 후 앱에서 바로 확인할 수 있습니다.
수강·대기,수강신청과 입반은 어떻게 하나요,6.5%,"원하는 영역과 강좌를 고른 뒤 신청합니다. 마감된 강좌는 대기를 걸 수 있습니다. 신청 방법이나 지금 가능한 강좌는 상담으로 안내해 드리며, 이미 등록한 내 강좌 현황은 로그인 후 앱에서 확인할 수 있습니다."
환불·취소,환불 규정이 어떻게 되나요,11.0%,"환불은 이용한 회차를 기준으로 계산합니다. 정확한 금액은 교육청 규정에 따라 상담 선생님이 확정하므로, 환불을 원하시면 상담으로 연결해 주세요. 라이브 강좌는 라이브 쪽에서, 교재비는 교재 반납 여부에 따라 별도로 처리됩니다."
환불·취소,수강을 취소하고 싶어요,,"수강 취소와 환불은 함께 처리됩니다. 취소를 원하시면 상담으로 연결해 주시고, 이용한 회차와 결제 정보를 확인해 환불 금액을 안내해 드립니다."
앱·설치,앱이 설치되거나 업데이트되지 않아요,13.7%,먼저 앱스토어나 플레이스토어에서 시대인재 마이클래스를 검색해 최신 버전으로 업데이트해 주세요. 업데이트가 안 되면 앱을 삭제한 뒤 다시 설치하시면 됩니다. 설치가 진행되지 않으면 기기의 저장 공간과 네트워크를 확인해 주세요. 안드로이드에서 설치가 계속 막히면 기기 설정의 앱 설치 허용 위치를 제한 없음으로 바꾼 뒤 다시 설치해 주세요. 그래도 안 되면 기기 기종과 OS 버전을 적어 상담으로 남겨 주세요.
수강·대기,동영상 보강은 어떻게 신청하고 어디서 보나요,5.2%,동영상 보강은 앱에서 수강 강좌를 선택한 뒤 강좌 상세보기의 강의 목록에서 확인합니다. 결석한 회차의 보강 영상을 신청해 볼 수 있습니다. 회차별로 시청 기한이 있으니 기한 안에 시청해 주세요. 내 보강 회차와 시청 기한은 로그인 후 앱에서 바로 확인할 수 있습니다. 영상이 열리지 않으면 재생 문제 안내를 참고해 주세요.
기타,다니는 지점 전화번호가 궁금해요,2.8%,지점별로 전화번호가 다릅니다. 앱의 고객센터나 채널 안내에서 다니시는 지점의 연락처를 확인하실 수 있습니다. 급하시면 이 채널에 지점과 학생 이름을 남겨 주시면 담당 지점으로 안내해 드립니다.
기타,자습실은 어떻게 이용하나요,1.1%,"자습실 신청과 대기, 좌석 현황은 그날그날 달라집니다. 이용을 원하시면 상담으로 연결해 주시면 다니시는 지점의 좌석 상황을 확인해 안내해 드립니다."
기타,교재는 어디서 받나요,1.0%,"교재 수령 위치는 강좌와 지점에 따라 다릅니다. 다니시는 지점의 수령 위치는 상담으로 안내해 드리며, 배송으로 받으신 경우 배송 조회는 로그인 후 앱에서 확인할 수 있습니다."
